"qg","N","w1","w2","w3","w4","prob"
"million or cents a",5,"million","or","cents","a",2.1399034646749e-06
"million or cents per",6,"million","or","cents","per",2.56788415760988e-06
"millions of dollars in",7,"millions","of","dollars","in",2.99586485054486e-06
"miss you so much",7,"miss","you","so","much",2.99586485054486e-06
"moment when you realize",6,"moment","when","you","realize",2.56788415760988e-06
"more information about the",6,"more","information","about","the",2.56788415760988e-06
"more information go to",6,"more","information","go","to",2.56788415760988e-06
"more likely to be",8,"more","likely","to","be",3.42384554347984e-06
"more often than not",7,"more","often","than","not",2.99586485054486e-06
"more than a decade",8,"more","than","a","decade",3.42384554347984e-06
"more than a dozen",6,"more","than","a","dozen",2.56788415760988e-06
"more than a few",8,"more","than","a","few",3.42384554347984e-06
"more than a half",5,"more","than","a","half",2.1399034646749e-06
"more than a year",16,"more","than","a","year",6.84769108695968e-06
"more than any other",7,"more","than","any","other",2.99586485054486e-06
"more than anything else",5,"more","than","anything","else",2.1399034646749e-06
"more than half of",7,"more","than","half","of",2.99586485054486e-06
"more than half the",5,"more","than","half","the",2.1399034646749e-06
"more than just a",7,"more","than","just","a",2.99586485054486e-06
"more than million a",5,"more","than","million","a",2.1399034646749e-06
"more than million in",8,"more","than","million","in",3.42384554347984e-06
"more than percent of",9,"more","than","percent","of",3.85182623641482e-06
"more time in the",5,"more","time","in","the",2.1399034646749e-06
"morning how are you",5,"morning","how","are","you",2.1399034646749e-06
"most of the day",8,"most","of","the","day",3.42384554347984e-06
"most of the time",25,"most","of","the","time",1.06995173233745e-05
"mothers day to all",18,"mothers","day","to","all",7.70365247282965e-06
"move on to the",6,"move","on","to","the",2.56788415760988e-06
"much as i did",6,"much","as","i","did",2.56788415760988e-06
"much as i do",6,"much","as","i","do",2.56788415760988e-06
"much for the follow",6,"much","for","the","follow",2.56788415760988e-06
"much for the rt",5,"much","for","the","rt",2.1399034646749e-06
"much fun last night",6,"much","fun","last","night",2.56788415760988e-06
"much i love you",5,"much","i","love","you",2.1399034646749e-06
"much to do and",5,"much","to","do","and",2.1399034646749e-06
"my best friend and",5,"my","best","friend","and",2.1399034646749e-06
"my family and friends",6,"my","family","and","friends",2.56788415760988e-06
"my family and i",5,"my","family","and","i",2.1399034646749e-06
"my favorite part of",5,"my","favorite","part","of",2.1399034646749e-06
"my friends and i",5,"my","friends","and","i",2.1399034646749e-06
"my husband and i",10,"my","husband","and","i",4.2798069293498e-06
"my life right now",5,"my","life","right","now",2.1399034646749e-06
"my mom and dad",5,"my","mom","and","dad",2.1399034646749e-06
"my mother in law",6,"my","mother","in","law",2.56788415760988e-06
"my one and only",5,"my","one","and","only",2.1399034646749e-06
"my sister in law",5,"my","sister","in","law",2.1399034646749e-06
"my time in the",5,"my","time","in","the",2.1399034646749e-06
"my way to the",9,"my","way","to","the",3.85182623641482e-06
"my wife and i",8,"my","wife","and","i",3.42384554347984e-06
"national day of prayer",5,"national","day","of","prayer",2.1399034646749e-06
"national transportation safety board",5,"national","transportation","safety","board",2.1399034646749e-06
"near the top of",5,"near","the","top","of",2.1399034646749e-06
"neck of the woods",7,"neck","of","the","woods",2.99586485054486e-06
"need some time to",5,"need","some","time","to",2.1399034646749e-06
"need to be able",5,"need","to","be","able",2.1399034646749e-06
"need to be on",5,"need","to","be","on",2.1399034646749e-06
"need to come to",5,"need","to","come","to",2.1399034646749e-06
"need to do is",5,"need","to","do","is",2.1399034646749e-06
"need to do something",5,"need","to","do","something",2.1399034646749e-06
"need to do to",5,"need","to","do","to",2.1399034646749e-06
"need to find a",7,"need","to","find","a",2.99586485054486e-06
"need to get a",7,"need","to","get","a",2.99586485054486e-06
"need to get the",7,"need","to","get","the",2.99586485054486e-06
"need to get to",5,"need","to","get","to",2.1399034646749e-06
"need to go to",13,"need","to","go","to",5.56374900815474e-06
"need to have a",8,"need","to","have","a",3.42384554347984e-06
"need to listen to",5,"need","to","listen","to",2.1399034646749e-06
"need to take a",6,"need","to","take","a",2.56788415760988e-06
"need to work on",7,"need","to","work","on",2.99586485054486e-06
"needless to say it",5,"needless","to","say","it",2.1399034646749e-06
"needs to be done",7,"needs","to","be","done",2.99586485054486e-06
"never be able to",5,"never","be","able","to",2.1399034646749e-06
"never be the same",12,"never","be","the","same",5.13576831521976e-06
"never let you go",5,"never","let","you","go",2.1399034646749e-06
"new york and new",6,"new","york","and","new",2.56788415760988e-06
"new york city and",5,"new","york","city","and",2.1399034646749e-06
"new york stock exchange",5,"new","york","stock","exchange",2.1399034646749e-06
"news of the world",6,"news","of","the","world",2.56788415760988e-06
"next time i will",5,"next","time","i","will",2.1399034646749e-06
"nice to have a",6,"nice","to","have","a",2.56788415760988e-06
"nice to meet you",13,"nice","to","meet","you",5.56374900815474e-06
"night i had a",5,"night","i","had","a",2.1399034646749e-06
"no choice but to",7,"no","choice","but","to",2.99586485054486e-06
"no idea how to",8,"no","idea","how","to",3.42384554347984e-06
"no matter how good",6,"no","matter","how","good",2.56788415760988e-06
"no matter how many",6,"no","matter","how","many",2.56788415760988e-06
"no matter how much",8,"no","matter","how","much",3.42384554347984e-06
"no matter what i",7,"no","matter","what","i",2.99586485054486e-06
"no matter what the",6,"no","matter","what","the",2.56788415760988e-06
"no matter what your",5,"no","matter","what","your",2.1399034646749e-06
"no one in the",6,"no","one","in","the",2.56788415760988e-06
"no one wants to",11,"no","one","wants","to",4.70778762228478e-06
"no such thing as",17,"no","such","thing","as",7.27567177989467e-06
"none of my business",5,"none","of","my","business",2.1399034646749e-06
"not a fan of",9,"not","a","fan","of",3.85182623641482e-06
"not a lot of",8,"not","a","lot","of",3.42384554347984e-06
"not all of them",6,"not","all","of","them",2.56788415760988e-06
"not as bad as",7,"not","as","bad","as",2.99586485054486e-06
"not bad for a",5,"not","bad","for","a",2.1399034646749e-06
"not be able to",18,"not","be","able","to",7.70365247282965e-06
"not be allowed to",6,"not","be","allowed","to",2.56788415760988e-06
"not be reached for",10,"not","be","reached","for",4.2798069293498e-06
"not been able to",7,"not","been","able","to",2.99586485054486e-06
"not being able to",14,"not","being","able","to",5.99172970108972e-06
"not going to be",11,"not","going","to","be",4.70778762228478e-06
"not going to do",5,"not","going","to","do",2.1399034646749e-06
"not going to get",8,"not","going","to","get",3.42384554347984e-06
"not going to happen",6,"not","going","to","happen",2.56788415760988e-06
"not going to make",5,"not","going","to","make",2.1399034646749e-06
"not looking forward to",8,"not","looking","forward","to",3.42384554347984e-06
"not only did he",6,"not","only","did","he",2.56788415760988e-06
"not only for the",5,"not","only","for","the",2.1399034646749e-06
"not quite sure what",5,"not","quite","sure","what",2.1399034646749e-06
"not supposed to be",8,"not","supposed","to","be",3.42384554347984e-06
"not sure how i",7,"not","sure","how","i",2.99586485054486e-06
"not sure i can",5,"not","sure","i","can",2.1399034646749e-06
"not sure if i",8,"not","sure","if","i",3.42384554347984e-06
"not the first time",6,"not","the","first","time",2.56788415760988e-06
"not the only one",6,"not","the","only","one",2.56788415760988e-06
"not the other way",5,"not","the","other","way",2.1399034646749e-06
"not the same as",5,"not","the","same","as",2.1399034646749e-06
"not to mention the",9,"not","to","mention","the",3.85182623641482e-06
"not too late to",6,"not","too","late","to",2.56788415760988e-06
"nothing more than a",9,"nothing","more","than","a",3.85182623641482e-06
"nothing to do with",33,"nothing","to","do","with",1.41233628668544e-05
"nothing to worry about",5,"nothing","to","worry","about",2.1399034646749e-06
"now i have a",5,"now","i","have","a",2.1399034646749e-06
"now i have to",14,"now","i","have","to",5.99172970108972e-06
"now i need to",7,"now","i","need","to",2.99586485054486e-06
"now i want to",11,"now","i","want","to",4.70778762228478e-06
"now im going to",9,"now","im","going","to",3.85182623641482e-06
"now is the time",7,"now","is","the","time",2.99586485054486e-06
"now its time to",9,"now","its","time","to",3.85182623641482e-06
"now that i am",5,"now","that","i","am",2.1399034646749e-06
"now we have to",6,"now","we","have","to",2.56788415760988e-06
"number of people who",6,"number","of","people","who",2.56788415760988e-06
"of a handful of",8,"of","a","handful","of",3.42384554347984e-06
"of a lot of",5,"of","a","lot","of",2.1399034646749e-06
"of a man who",6,"of","a","man","who",2.56788415760988e-06
"of a series of",5,"of","a","series","of",2.1399034646749e-06
"of a year old",12,"of","a","year","old",5.13576831521976e-06
"of an effort to",5,"of","an","effort","to",2.1399034646749e-06
"of being able to",6,"of","being","able","to",2.56788415760988e-06
"of cents per share",6,"of","cents","per","share",2.56788415760988e-06
"of chicago chicago illinois",5,"of","chicago","chicago","illinois",2.1399034646749e-06
"of confidence in the",5,"of","confidence","in","the",2.1399034646749e-06
"of course it is",8,"of","course","it","is",3.42384554347984e-06
"of course there are",6,"of","course","there","are",2.56788415760988e-06
"of health and human",5,"of","health","and","human",2.1399034646749e-06
"of his time in",5,"of","his","time","in",2.1399034646749e-06
"of million or cents",6,"of","million","or","cents",2.56788415760988e-06
"of more than million",5,"of","more","than","million",2.1399034646749e-06
"of most of the",7,"of","most","of","the",2.99586485054486e-06
"of my best friends",6,"of","my","best","friends",2.56788415760988e-06
"of my favorite places",6,"of","my","favorite","places",2.56788415760988e-06
"of my life i",7,"of","my","life","i",2.99586485054486e-06
"of new jersey and",5,"of","new","jersey","and",2.1399034646749e-06
"of new york and",7,"of","new","york","and",2.99586485054486e-06
"of new york city",6,"of","new","york","city",2.56788415760988e-06
"of one of the",22,"of","one","of","the",9.41557524456957e-06
"of people who are",6,"of","people","who","are",2.56788415760988e-06
"of people who have",5,"of","people","who","have",2.1399034646749e-06
"of some of the",16,"of","some","of","the",6.84769108695968e-06
"of state hillary clinton",5,"of","state","hillary","clinton",2.1399034646749e-06
"of the best in",5,"of","the","best","in",2.1399034646749e-06
"of the block of",11,"of","the","block","of",4.70778762228478e-06
"of the board of",6,"of","the","board","of",2.56788415760988e-06
"of the car and",5,"of","the","car","and",2.1399034646749e-06
"of the cost of",5,"of","the","cost","of",2.1399034646749e-06
"of the country the",5,"of","the","country","the",2.1399034646749e-06
"of the day and",6,"of","the","day","and",2.56788415760988e-06
"of the day i",5,"of","the","day","i",2.1399034646749e-06
"of the day the",5,"of","the","day","the",2.1399034646749e-06
"of the department of",9,"of","the","department","of",3.85182623641482e-06
"of the end of",6,"of","the","end","of",2.56788415760988e-06
"of the fact that",8,"of","the","fact","that",3.42384554347984e-06
"of the game i",5,"of","the","game","i",2.1399034646749e-06
"of the highlights of",5,"of","the","highlights","of",2.1399034646749e-06
"of the history of",5,"of","the","history","of",2.1399034646749e-06
"of the holy spirit",5,"of","the","holy","spirit",2.1399034646749e-06
"of the human race",7,"of","the","human","race",2.99586485054486e-06
"of the last century",5,"of","the","last","century",2.1399034646749e-06
"of the matter is",6,"of","the","matter","is",2.56788415760988e-06
"of the most beautiful",6,"of","the","most","beautiful",2.56788415760988e-06
"of the most famous",5,"of","the","most","famous",2.1399034646749e-06
"of the most important",9,"of","the","most","important",3.85182623641482e-06
"of the most popular",9,"of","the","most","popular",3.85182623641482e-06
"of the new york",8,"of","the","new","york",3.42384554347984e-06
"of the night and",6,"of","the","night","and",2.56788415760988e-06
"of the people i",5,"of","the","people","i",2.1399034646749e-06
"of the people in",6,"of","the","people","in",2.56788415760988e-06
"of the people who",6,"of","the","people","who",2.56788415760988e-06
"of the post dispatch",5,"of","the","post","dispatch",2.1399034646749e-06
"of the reasons why",5,"of","the","reasons","why",2.1399034646749e-06
"of the rest of",8,"of","the","rest","of",3.42384554347984e-06
"of the school year",6,"of","the","school","year",2.56788415760988e-06
"of the season and",13,"of","the","season","and",5.56374900815474e-06
"of the season i",7,"of","the","season","i",2.99586485054486e-06
"of the season is",5,"of","the","season","is",2.1399034646749e-06
"of the st louis",5,"of","the","st","louis",2.1399034646749e-06
"of the state of",5,"of","the","state","of",2.1399034646749e-06
"of the th century",8,"of","the","th","century",3.42384554347984e-06
"of the things i",7,"of","the","things","i",2.99586485054486e-06
"of the things that",10,"of","the","things","that",4.2798069293498e-06
"of the time in",6,"of","the","time","in",2.56788415760988e-06
"of the time the",5,"of","the","time","the",2.1399034646749e-06
"of the united states",31,"of","the","united","states",1.32674014809844e-05
"of the university of",9,"of","the","university","of",3.85182623641482e-06
"of the world is",5,"of","the","world","is",2.1399034646749e-06
"of the worlds most",5,"of","the","worlds","most",2.1399034646749e-06
"of the year and",7,"of","the","year","and",2.99586485054486e-06
"of the year award",5,"of","the","year","award",2.1399034646749e-06
"of the year for",9,"of","the","year","for",3.85182623641482e-06
"of the year the",5,"of","the","year","the",2.1399034646749e-06
"of thousands of dollars",6,"of","thousands","of","dollars",2.56788415760988e-06
"of thousands of people",8,"of","thousands","of","people",3.42384554347984e-06
"of what i was",5,"of","what","i","was",2.1399034646749e-06
"of with nike gps",7,"of","with","nike","gps",2.99586485054486e-06
"of work to do",7,"of","work","to","do",2.99586485054486e-06
"of you who are",7,"of","you","who","are",2.99586485054486e-06
"of you who have",7,"of","you","who","have",2.99586485054486e-06
"oh by the way",5,"oh","by","the","way",2.1399034646749e-06
"on a bed of",5,"on","a","bed","of",2.1399034646749e-06
"on a daily basis",15,"on","a","daily","basis",6.4197103940247e-06
"on a day to",6,"on","a","day","to",2.56788415760988e-06
"on a lot of",10,"on","a","lot","of",4.2798069293498e-06
"on a mission to",7,"on","a","mission","to",2.99586485054486e-06
"on a regular basis",7,"on","a","regular","basis",2.99586485054486e-06
"on a variety of",7,"on","a","variety","of",2.99586485054486e-06
"on and on and",5,"on","and","on","and",2.1399034646749e-06
"on behalf of the",11,"on","behalf","of","the",4.70778762228478e-06
"on his way to",9,"on","his","way","to",3.85182623641482e-06
"on its way to",7,"on","its","way","to",2.99586485054486e-06
"on my day off",5,"on","my","day","off",2.1399034646749e-06
"on my way home",7,"on","my","way","home",2.99586485054486e-06
"on my way to",33,"on","my","way","to",1.41233628668544e-05
"on one of my",6,"on","one","of","my",2.56788415760988e-06
"on one of the",8,"on","one","of","the",3.42384554347984e-06
"on our way to",8,"on","our","way","to",3.42384554347984e-06
"on some of the",7,"on","some","of","the",2.99586485054486e-06
"on the amount of",5,"on","the","amount","of",2.1399034646749e-06
"on the back of",19,"on","the","back","of",8.13163316576463e-06
"on the ballot in",6,"on","the","ballot","in",2.56788415760988e-06
"on the big screen",7,"on","the","big","screen",2.99586485054486e-06
"on the block of",6,"on","the","block","of",2.56788415760988e-06
"on the board of",11,"on","the","board","of",4.70778762228478e-06
"on the bottom of",5,"on","the","bottom","of",2.1399034646749e-06
"on the corner of",6,"on","the","corner","of",2.56788415760988e-06
"on the cover of",8,"on","the","cover","of",3.42384554347984e-06
"on the day of",9,"on","the","day","of",3.85182623641482e-06
"on the east coast",5,"on","the","east","coast",2.1399034646749e-06
"on the east side",5,"on","the","east","side",2.1399034646749e-06
"on the edge of",18,"on","the","edge","of",7.70365247282965e-06
"on the eve of",5,"on","the","eve","of",2.1399034646749e-06
"on the fact that",8,"on","the","fact","that",3.42384554347984e-06
"on the first day",6,"on","the","first","day",2.56788415760988e-06
"on the floor and",5,"on","the","floor","and",2.1399034646749e-06
"on the ground in",8,"on","the","ground","in",3.42384554347984e-06
"on the grounds of",5,"on","the","grounds","of",2.1399034646749e-06
"on the last day",9,"on","the","last","day",3.85182623641482e-06
"on the list of",5,"on","the","list","of",2.1399034646749e-06
"on the lookout for",5,"on","the","lookout","for",2.1399034646749e-06
"on the new york",7,"on","the","new","york",2.99586485054486e-06
"on the north side",6,"on","the","north","side",2.56788415760988e-06
"on the number of",5,"on","the","number","of",2.1399034646749e-06
"on the one hand",6,"on","the","one","hand",2.56788415760988e-06
"on the other hand",44,"on","the","other","hand",1.88311504891391e-05
"on the other side",26,"on","the","other","side",1.11274980163095e-05
"on the part of",12,"on","the","part","of",5.13576831521976e-06
"on the phone and",7,"on","the","phone","and",2.99586485054486e-06
"on the phone with",8,"on","the","phone","with",3.42384554347984e-06
"on the plus side",6,"on","the","plus","side",2.56788415760988e-06
"on the right track",5,"on","the","right","track",2.1399034646749e-06
"on the road to",11,"on","the","road","to",4.70778762228478e-06
"on the same day",10,"on","the","same","day",4.2798069293498e-06
"on the same page",11,"on","the","same","page",4.70778762228478e-06
"on the side of",14,"on","the","side","of",5.99172970108972e-06
"on the streets of",6,"on","the","streets","of",2.56788415760988e-06
"on the th of",8,"on","the","th","of",3.42384554347984e-06
"on the top of",7,"on","the","top","of",2.99586485054486e-06
"on the use of",5,"on","the","use","of",2.1399034646749e-06
"on the verge of",8,"on","the","verge","of",3.42384554347984e-06
"on the way home",13,"on","the","way","home",5.56374900815474e-06
"on the way to",28,"on","the","way","to",1.19834594021794e-05
"on the west side",9,"on","the","west","side",3.85182623641482e-06
"on the wrong side",7,"on","the","wrong","side",2.99586485054486e-06
"on this day in",6,"on","this","day","in",2.56788415760988e-06
"on this website comes",8,"on","this","website","comes",3.42384554347984e-06
"on to the next",13,"on","to","the","next",5.56374900815474e-06
"on top of that",7,"on","top","of","that",2.99586485054486e-06
"on top of the",23,"on","top","of","the",9.84355593750455e-06
"on whether or not",5,"on","whether","or","not",2.1399034646749e-06
"once in a while",17,"once","in","a","while",7.27567177989467e-06
"once upon a time",12,"once","upon","a","time",5.13576831521976e-06
"one at a time",6,"one","at","a","time",2.56788415760988e-06
"one day at a",5,"one","day","at","a",2.1399034646749e-06
"one man and one",5,"one","man","and","one",2.1399034646749e-06
"one of a handful",5,"one","of","a","handful",2.1399034646749e-06
"one of a kind",7,"one","of","a","kind",2.99586485054486e-06
"one of my best",5,"one","of","my","best",2.1399034646749e-06
"one of my fav",6,"one","of","my","fav",2.56788415760988e-06
"one of my favorite",54,"one","of","my","favorite",2.31109574184889e-05
"one of my favorites",11,"one","of","my","favorites",4.70778762228478e-06
"one of my favourite",5,"one","of","my","favourite",2.1399034646749e-06
"one of my friends",7,"one","of","my","friends",2.99586485054486e-06
"one of the best",67,"one","of","the","best",2.86747064266437e-05
"one of the better",5,"one","of","the","better",2.1399034646749e-06
"one of the biggest",16,"one","of","the","biggest",6.84769108695968e-06
"one of the citys",6,"one","of","the","citys",2.56788415760988e-06
"one of the few",21,"one","of","the","few",8.98759455163459e-06
"one of the first",12,"one","of","the","first",5.13576831521976e-06
"one of the four",5,"one","of","the","four",2.1399034646749e-06
"one of the great",6,"one","of","the","great",2.56788415760988e-06
"one of the greatest",13,"one","of","the","greatest",5.56374900815474e-06
"one of the highlights",5,"one","of","the","highlights",2.1399034646749e-06
"one of the largest",10,"one","of","the","largest",4.2798069293498e-06
"one of the last",6,"one","of","the","last",2.56788415760988e-06
"one of the main",5,"one","of","the","main",2.1399034646749e-06
"one of the many",7,"one","of","the","many",2.99586485054486e-06
"one of the more",10,"one","of","the","more",4.2798069293498e-06
"one of the most",105,"one","of","the","most",4.49379727581729e-05
"one of the nations",6,"one","of","the","nations",2.56788415760988e-06
"one of the other",9,"one","of","the","other",3.85182623641482e-06
"one of the reasons",11,"one","of","the","reasons",4.70778762228478e-06
"one of the strongest",6,"one","of","the","strongest",2.56788415760988e-06
"one of the teams",5,"one","of","the","teams",2.1399034646749e-06
"one of the things",13,"one","of","the","things",5.56374900815474e-06
"one of the top",11,"one","of","the","top",4.70778762228478e-06
"one of the two",6,"one","of","the","two",2.56788415760988e-06
"one of the worlds",9,"one","of","the","worlds",3.85182623641482e-06
"one of the worst",5,"one","of","the","worst",2.1399034646749e-06
"one of these days",6,"one","of","these","days",2.56788415760988e-06
"one of those days",6,"one","of","those","days",2.56788415760988e-06
"one or the other",6,"one","or","the","other",2.56788415760988e-06
"one side of the",5,"one","side","of","the",2.1399034646749e-06
"one third of the",5,"one","third","of","the",2.1399034646749e-06
"one way or another",7,"one","way","or","another",2.99586485054486e-06
"only a handful of",6,"only","a","handful","of",2.56788415760988e-06
"only going to get",5,"only","going","to","get",2.1399034646749e-06
"only time will tell",5,"only","time","will","tell",2.1399034646749e-06
"open highest form of",6,"open","highest","form","of",2.56788415760988e-06
"open to the public",13,"open","to","the","public",5.56374900815474e-06
"or amazon eu this",8,"or","amazon","eu","this",3.42384554347984e-06
"or at least i",5,"or","at","least","i",2.1399034646749e-06
"or cents per share",10,"or","cents","per","share",4.2798069293498e-06
"or may not have",7,"or","may","not","have",2.99586485054486e-06
"or removal at any",8,"or","removal","at","any",3.42384554347984e-06
"or something like that",6,"or","something","like","that",2.56788415760988e-06
"other parts of the",7,"other","parts","of","the",2.99586485054486e-06
"other side of the",15,"other","side","of","the",6.4197103940247e-06
"our goal is to",6,"our","goal","is","to",2.56788415760988e-06
"our mission is to",5,"our","mission","is","to",2.1399034646749e-06
"out of bed and",7,"out","of","bed","and",2.99586485054486e-06
"out of my head",7,"out","of","my","head",2.99586485054486e-06
"out of the box",9,"out","of","the","box",3.85182623641482e-06
"out of the car",16,"out","of","the","car",6.84769108695968e-06
"out of the game",8,"out","of","the","game",3.42384554347984e-06
"out of the ground",5,"out","of","the","ground",2.1399034646749e-06
"out of the house",11,"out","of","the","house",4.70778762228478e-06
"out of the question",8,"out","of","the","question",3.42384554347984e-06
"out of the race",5,"out","of","the","race",2.1399034646749e-06
"out of the room",8,"out","of","the","room",3.42384554347984e-06
"out of the water",7,"out","of","the","water",2.99586485054486e-06
"out of the way",17,"out","of","the","way",7.27567177989467e-06
"out some of the",5,"out","some","of","the",2.1399034646749e-06
"out the window and",6,"out","the","window","and",2.56788415760988e-06
"out there who are",5,"out","there","who","are",2.1399034646749e-06
"out to all the",5,"out","to","all","the",2.1399034646749e-06
"out to be a",11,"out","to","be","a",4.70778762228478e-06
"over a year ago",5,"over","a","year","ago",2.1399034646749e-06
"over and over again",14,"over","and","over","again",5.99172970108972e-06
"over and over and",7,"over","and","over","and",2.99586485054486e-06
"over medium high heat",6,"over","medium","high","heat",2.56788415760988e-06
"over the course of",18,"over","the","course","of",7.70365247282965e-06
"over the last couple",6,"over","the","last","couple",2.56788415760988e-06
"over the last few",16,"over","the","last","few",6.84769108695968e-06
"over the last several",5,"over","the","last","several",2.1399034646749e-06
"over the last three",5,"over","the","last","three",2.1399034646749e-06
"over the last years",6,"over","the","last","years",2.56788415760988e-06
"over the next few",11,"over","the","next","few",4.70778762228478e-06
"over the next two",11,"over","the","next","two",4.70778762228478e-06
"over the past few",11,"over","the","past","few",4.70778762228478e-06
"over the past three",7,"over","the","past","three",2.99586485054486e-06
"over the past two",6,"over","the","past","two",2.56788415760988e-06
"over the past year",7,"over","the","past","year",2.99586485054486e-06
"over the past years",11,"over","the","past","years",4.70778762228478e-06
"over the top of",5,"over","the","top","of",2.1399034646749e-06
"over the years and",6,"over","the","years","and",2.56788415760988e-06
"over the years i",7,"over","the","years","i",2.99586485054486e-06
"owned and operated by",5,"owned","and","operated","by",2.1399034646749e-06
"pa pa pa pa",9,"pa","pa","pa","pa",3.85182623641482e-06
"paid cash for a",5,"paid","cash","for","a",2.1399034646749e-06
"pain in the ass",6,"pain","in","the","ass",2.56788415760988e-06
"part of an effort",5,"part","of","an","effort",2.1399034646749e-06
"part of that is",5,"part","of","that","is",2.1399034646749e-06
"part of the deal",5,"part","of","the","deal",2.1399034646749e-06
"part of the problem",6,"part","of","the","problem",2.56788415760988e-06
"part of the process",5,"part","of","the","process",2.1399034646749e-06
"part of the reason",7,"part","of","the","reason",2.99586485054486e-06
"part of your life",5,"part","of","your","life",2.1399034646749e-06
"participant in the amazon",8,"participant","in","the","amazon",3.42384554347984e-06
"parts of the country",8,"parts","of","the","country",3.42384554347984e-06
"parts of the world",5,"parts","of","the","world",2.1399034646749e-06
"people are going to",9,"people","are","going","to",3.85182623641482e-06
"people familiar with the",8,"people","familiar","with","the",3.42384554347984e-06
"people in the world",5,"people","in","the","world",2.1399034646749e-06
"people who are not",5,"people","who","are","not",2.1399034646749e-06
"people who live in",7,"people","who","live","in",2.99586485054486e-06
"per serving calories protein",5,"per","serving","calories","protein",2.1399034646749e-06
"percent from the field",6,"percent","from","the","field",2.56788415760988e-06
"percent of the vote",8,"percent","of","the","vote",3.42384554347984e-06
"percent to close at",5,"percent","to","close","at",2.1399034646749e-06
"person in the world",5,"person","in","the","world",2.1399034646749e-06
"pirates band of misfits",5,"pirates","band","of","misfits",2.1399034646749e-06
"player of the year",17,"player","of","the","year",7.27567177989467e-06
"pleaded not guilty to",7,"pleaded","not","guilty","to",2.99586485054486e-06
"please feel free to",11,"please","feel","free","to",4.70778762228478e-06
"please follow me back",7,"please","follow","me","back",2.99586485054486e-06
"please follow me i",10,"please","follow","me","i",4.2798069293498e-06
"please follow me it",5,"please","follow","me","it",2.1399034646749e-06
"please leave a comment",5,"please","leave","a","comment",2.1399034646749e-06
"please let me know",15,"please","let","me","know",6.4197103940247e-06
"please let us know",5,"please","let","us","know",2.1399034646749e-06
"please please please please",19,"please","please","please","please",8.13163316576463e-06
"please spread the word",7,"please","spread","the","word",2.99586485054486e-06
"plenty of time to",10,"plenty","of","time","to",4.2798069293498e-06
"point in my life",6,"point","in","my","life",2.56788415760988e-06
"pointing out that the",5,"pointing","out","that","the",2.1399034646749e-06
"possession of a weapon",8,"possession","of","a","weapon",3.42384554347984e-06
"preheat oven to degrees",10,"preheat","oven","to","degrees",4.2798069293498e-06
"preheat the oven to",7,"preheat","the","oven","to",2.99586485054486e-06
"president and ceo of",5,"president","and","ceo","of",2.1399034646749e-06
"president and chief executive",5,"president","and","chief","executive",2.1399034646749e-06
"president of the united",8,"president","of","the","united",3.42384554347984e-06
"programmes designed to provide",8,"programmes","designed","to","provide",3.42384554347984e-06
"pronounced dead at the",6,"pronounced","dead","at","the",2.56788415760988e-06
"protein carbohydrate fat saturated",7,"protein","carbohydrate","fat","saturated",2.99586485054486e-06
"proved to be a",5,"proved","to","be","a",2.1399034646749e-06
"provide a means for",8,"provide","a","means","for",3.42384554347984e-06
"provide you with the",7,"provide","you","with","the",2.99586485054486e-06
"provided as is and",8,"provided","as","is","and",3.42384554347984e-06
"quite a bit of",7,"quite","a","bit","of",2.99586485054486e-06
"quote of the day",11,"quote","of","the","day",4.70778762228478e-06
"ranked no in the",5,"ranked","no","in","the",2.1399034646749e-06
"re going to have",10,"re","going","to","have",4.2798069293498e-06
"read the rest of",5,"read","the","rest","of",2.1399034646749e-06
"ready to go home",7,"ready","to","go","home",2.99586485054486e-06
"ready to go to",5,"ready","to","go","to",2.1399034646749e-06
"really dont want to",9,"really","dont","want","to",3.85182623641482e-06
"really looking forward to",13,"really","looking","forward","to",5.56374900815474e-06
"really need to do",5,"really","need","to","do",2.1399034646749e-06
"really need to get",5,"really","need","to","get",2.1399034646749e-06
"remains to be seen",8,"remains","to","be","seen",3.42384554347984e-06
"reminds me of the",11,"reminds","me","of","the",4.70778762228478e-06
"removal at any time",8,"removal","at","any","time",3.42384554347984e-06
"rest of my life",9,"rest","of","my","life",3.85182623641482e-06
"rest of the day",14,"rest","of","the","day",5.99172970108972e-06
"rest of the night",6,"rest","of","the","night",2.56788415760988e-06
"rest of the season",6,"rest","of","the","season",2.56788415760988e-06
"rest of the way",6,"rest","of","the","way",2.56788415760988e-06
"rest of the week",8,"rest","of","the","week",3.42384554347984e-06
"rest of the world",12,"rest","of","the","world",5.13576831521976e-06
"right back at you",5,"right","back","at","you",2.1399034646749e-06
"right in front of",6,"right","in","front","of",2.56788415760988e-06
"right now he said",6,"right","now","he","said",2.56788415760988e-06
"right out of the",5,"right","out","of","the",2.1399034646749e-06
"right thing to do",5,"right","thing","to","do",2.1399034646749e-06
"rock and roll hall",13,"rock","and","roll","hall",5.56374900815474e-06
"roll hall of fame",13,"roll","hall","of","fame",5.56374900815474e-06
"rookie of the year",5,"rookie","of","the","year",2.1399034646749e-06
"rose or percent to",6,"rose","or","percent","to",2.56788415760988e-06
"rt if you are",6,"rt","if","you","are",2.56788415760988e-06
"rt if you want",7,"rt","if","you","want",2.99586485054486e-06
"rt looking forward to",8,"rt","looking","forward","to",3.42384554347984e-06
